stageId,unit,level,q,A,B,C,D,ans,exp
s1,1,初級,下列哪一項最符合「綠色消費」的做法？,優先選擇低污染、可回收且省資源的產品,只看包裝是否漂亮,只購買最便宜的商品,選擇一次性用品以節省清洗時間,A,綠色消費重視產品對環境的影響，包含減量、重複使用、回收及選擇較環保的產品。
s1,1,初級,購買飲料時，自備可重複使用的水壺，最直接符合哪一項環保概念？,增加垃圾量,減少一次性容器使用,提高能源消耗,增加產品包裝,B,自備容器可減少一次性容器的使用，是源頭減量的一種做法。
s1,1,初級,若一項產品標示「使用再生材料製造」，最主要代表它具有哪一項環境效益？,增加資源開採,增加一次性消費,促進資源再利用,提高廢棄物產生量,C,使用再生材料可讓已使用過的資源再次進入生產循環，降低原生資源需求。
s1,2,初級,下列哪一項最可能造成都市空氣污染？,植樹造林,增加公園面積,雨水自然蒸發,汽機車大量排放廢氣,D,汽機車燃燒燃料會排放多種空氣污染物，是都市常見的人為污染源。
s1,2,初級,在室內有人抽菸，未抽菸的人吸入的煙霧屬於哪一種污染？,室內空氣污染,水污染,土壤污染,光污染,A,二手菸會使室內空氣受到污染，也可能危害未吸菸者的健康。
s1,2,初級,若學校整理操場前先灑水，主要可以減少哪一種污染？,噪音,揚塵,水污染,臭氧層破壞,B,先灑水可以讓地面較不容易揚起大量灰塵，因此有助於降低揚塵。
s1,3,初級,下列哪一項最能降低家庭用水量？,水龍頭持續開著,用大量清水沖洗地面,洗澡時縮短用水時間,發現漏水也不處理,C,縮短不必要的用水時間，以及修復漏水，都能直接降低家庭用水量。
s1,3,初級,一般而言，水中溶氧量下降，最可能對魚類造成什麼影響？,更容易生存,體型立即變大,繁殖一定增加,呼吸困難,D,魚類需要溶氧進行呼吸；水中溶氧過低可能造成水生生物生存困難。
s1,3,初級,下列哪一項最可能使湖泊發生優養化？,過量氮、磷進入水體,降低水中養分,增加水體透明度,減少藻類生長,A,氮、磷等營養鹽過量進入水體，可能促進藻類大量繁殖，造成優養化。
s1,4,中級,某河川附近工廠排放未經妥善處理的有機廢水，最可能造成哪一項變化？,溶氧一定升高,BOD升高,水體完全不受影響,透明度一定增加,B,有機物增加會提高微生物分解所需的氧量，因此BOD可能升高並進一步消耗水中溶氧。
s1,4,中級,若一條河川的水溫由20°C升至30°C，其他條件相同，飽和溶氧量通常會如何？,增加,完全不變,減少,變成零,C,水溫越高，水中氧氣的溶解度通常越低，因此飽和溶氧量會下降。
s1,4,中級,若城市大量使用深色柏油路面與混凝土，且綠地很少，最可能加劇哪種現象？,臭氧層恢復,海水淡化,土壤形成,都市熱島效應,D,大量人工鋪面容易吸收並儲存熱能，綠地不足也減少降溫作用，可能加劇都市熱島。
s1,5,中級,下列哪一項做法最符合「源頭減量」？,購買時避免不必要的包裝,垃圾產生後才分類,把所有垃圾集中焚燒,增加一次性用品使用,A,源頭減量是在垃圾產生之前就減少不必要的消費與包裝。
s1,5,中級,將紙箱壓扁後再回收，主要有什麼好處？,增加體積,減少回收與運輸所需空間,讓紙箱不能再利用,增加垃圾重量,B,壓扁可降低體積，提高回收與運輸空間的利用效率。
s1,6,中級,若山坡地大量砍伐森林，豪雨來臨時最可能增加哪一項風險？,地下水永久增加,空氣品質永久改善,土壤流失與土石流,生物多樣性必然增加,C,森林可攔截降雨並穩定土壤；大量砍伐後，土壤流失及土石流風險可能提高。
s1,6,中級,為避免山坡地水土流失，下列哪一項最適當？,大面積砍除植被,大量種植淺根植物,增加裸露地面,保持自然植被並減少不當開發,D,維持植被及減少不當開發，有助於固定土壤並降低坡地災害風險。
s1,7,中級,若地下儲油槽破損而長期漏油，最需要注意哪一項環境風險？,土壤與地下水污染,臭氧層立即恢復,增加河川溶氧,降低所有空氣污染,A,地下儲油槽漏油可能使污染物進入土壤，並進一步污染地下水。
s1,7,中級,下列哪一項最可能造成土壤污染？,妥善處理工業廢水,非法傾倒有害廢棄物,植樹造林,雨水自然滲入,B,有害物質不當傾倒可能直接污染土壤，並可能進一步影響地下水與食物。
