stageId,unit,level,q,A,B,C,D,ans,exp
s1,1,初級,「可回收、低污染、省資源」最符合哪一種環保標章的核心概念？,環保標章,臺灣碳標籤,節能標章,省水標章,A,環保標章的核心概念就是可回收、低污染、省資源。
s1,1,初級,AQI為0～50時，空氣品質屬於哪一級？,良好,普通,不健康,危害,A,AQI 0～50為良好。
s1,1,初級,AQI為101～150時，主要代表哪種情況？,對敏感族群不健康,良好,普通,危害,A,AQI 101～150屬於對敏感族群不健康。
s1,1,初級,下列哪一天是世界環境日？,6月5日,2月2日,3月22日,10月16日,A,6月5日是世界環境日。
s1,1,初級,世界地球日是每年的哪一天？,4月22日,3月21日,5月22日,6月8日,A,4月22日是世界地球日。
s1,2,初級,下列哪一個塑膠編號是PET，常見於寶特瓶？,1,2,5,6,A,1號塑膠是PET，常見用途為寶特瓶。
s1,2,初級,下列哪一個塑膠編號代表HDPE？,2,1,4,7,A,2號塑膠是HDPE，高密度聚乙烯。
s1,2,初級,哪一種塑膠編號含氯，燃燒時可能產生有害物質，因此不宜任意燃燒？,3號PVC,1號PET,2號HDPE,5號PP,A,3號PVC含氯，燃燒可能產生有害物質，應避免任意燃燒。
s1,2,初級,下列哪一個塑膠編號是LDPE，常見用途包含塑膠袋？,4,2,3,6,A,4號是LDPE，低密度聚乙烯，常見於塑膠袋與保鮮膜。
s1,2,初級,哪一個塑膠編號通常耐熱性較高，適合微波加熱？,5號PP,3號PVC,4號LDPE,6號PS,A,5號PP耐熱性較高，是講義列出的微波加熱優先塑膠材質。
s1,2,初級,保麗龍常見的塑膠編號是？,6,1,4,5,A,6號是PS，常見用途包括保麗龍。
s1,2,初級,塑膠分類中的7號Other主要代表什麼？,1～6號以外的其他塑膠材質,只有寶特瓶,只有PVC,只能回收的塑膠,A,7號Other是其他類塑膠，例如PC、PLA、Tritan等。
s1,2,初級,下列哪一項屬於「藍色水足跡」？,河川、湖泊、水庫等地表或地下水的使用,植物直接利用的雨水,稀釋污染所需的水,海水蒸發形成的水氣,A,藍色水足跡主要是使用河川、湖泊、水庫、地下水等藍水資源。
s1,2,初級,下列哪一項最符合「綠色水足跡」？,抽取地下水,雨水被植物利用,工廠用水,稀釋污染物所需的水,B,綠色水足跡是降雨後儲存在土壤中、可被植物利用的水。
s1,2,初級,灰色水足跡主要表示什麼？,清洗水管的水量,稀釋污染使水質符合標準所需的水量,雨水總量,海水總量,B,灰色水足跡是為了稀釋污染，使受污染水體達到水質標準所需的水量。
s2,1,中級,斯德哥爾摩公約主要管制哪一類物質？,溫室氣體,持久性有機污染物POPs,一般生活垃圾,噪音,B,斯德哥爾摩公約主要針對持久性有機污染物POPs。
s2,1,中級,DDT最重要的環境特性之一是什麼？,容易立即分解,脂溶性且容易在生物體內累積,只存在空氣中,只存在淡水中,B,DDT具有脂溶性，容易在生物體內累積，並可能沿食物鏈產生生物放大。
s2,1,中級,「生物放大」是指污染物在食物鏈中通常出現什麼情形？,越高營養階層濃度越低,越高營養階層濃度越高,完全不會累積,只在植物中累積,B,難以分解且可累積的污染物可能沿食物鏈傳遞，在較高營養階層濃度更高。
s2,1,中級,蒙特婁議定書主要是為了保護什麼？,森林,臭氧層,濕地,海洋漁業,B,蒙特婁議定書主要管制破壞臭氧層的物質，以保護臭氧層。
s2,1,中級,巴塞爾公約主要處理哪一項跨國環境問題？,溫室氣體,有害廢棄物越境轉移,森林砍伐,水足跡,B,巴塞爾公約主要規範有害廢棄物的越境轉移，避免造成跨國環境污染。
s2,1,中級,拉姆薩公約主要關注哪一類環境？,沙漠,濕地,高山,都市道路,B,拉姆薩公約重點是國際重要濕地及其生態價值，並特別關注水鳥棲息地。
s2,1,中級,CITES（華盛頓公約）主要規範什麼？,城市垃圾分類,瀕危野生動植物的國際貿易,臭氧層保護,能源效率,B,CITES是瀕臨絕種野生動植物國際貿易公約，重點是透過貿易管制保護野生動植物。
s2,1,中級,生物多樣性公約的核心內容不包含下列何者？,保育生物多樣性,鼓勵任意開發自然資源,永續利用,利益公平分享,B,生物多樣性公約強調保育、永續利用及利益公平分享，而不是任意開發。
s2,2,中級,BOD主要代表什麼？,生物多樣性指數,生化需氧量,空氣品質指數,碳排放量,B,BOD是生化需氧量，表示微生物分解水中有機物時所需要的氧量。
s2,2,中級,一般而言，水溫升高時，水中的飽和溶氧量會如何變化？,增加,減少,不變,一定先增加再減少,B,一般而言，水溫越高，水中飽和溶氧量越低。
s2,2,中級,COD主要用來表示什麼？,水中魚類數量,化學氧化所需的氧量,空氣中的PM2.5,水的溫度,B,COD是化學需氧量，以化學方法表示水中可被氧化物質所需的氧量。
s2,2,中級,卡爾森指數CTSI主要用來評估什麼？,地震規模,空氣污染程度,湖泊或水庫優養化程度,森林面積,C,CTSI是評估湖泊、水庫優養化程度的重要指標。
s2,2,中級,CTSI計算常參考透明度、葉綠素a及哪一項水質參數？,鹽度,水溫,總磷TP,溶解二氧化碳,C,講義列出的CTSI參數包含透明度SD、葉綠素a及總磷TP。
s2,2,中級,酸雨主要與哪兩類污染物有關？,O₂與N₂,CO₂與O₂,SO₂與NOx,H₂與He,C,酸雨與硫氧化物及氮氧化物排放密切相關。
s2,2,中級,都市熱島效應是指什麼？,都市永遠比農村冷,都市降雨量一定較少,都市通常比周圍農村地區溫度高,都市完全沒有風,C,都市建築、道路及人類活動等因素會使都市溫度高於周圍較少開發地區。
s3,3,中高級,《京都議定書》主要針對哪一類環境問題？,有害廢棄物越境,瀕危動植物貿易,溫室氣體排放,濕地保育,C,京都議定書的重點是控制溫室氣體排放。
s3,3,中高級,依講義，京都議定書列出的主要溫室氣體共有幾類？,4類,5類,6類,7類,C,講義列出CO2、CH4、N2O、HFCs、PFCs、SF6，共6類。
s3,3,中高級,在講義列出的全球暖化潛勢數值中，哪一種氣體最高？,CO₂,N₂O,SF₆,HFCs,C,"講義列出的SF6全球暖化潛勢約為23,900，最高。"
s3,3,中高級,「減量」與「調適」的差別何者正確？,減量面對氣候衝擊，調適減少排放,兩者完全相同,減量減少溫室氣體排放，調適降低已發生氣候衝擊的傷害,調適只處理塑膠垃圾,C,減量是降低造成氣候變遷的溫室氣體排放；調適是降低氣候變遷已造成或預期造成的傷害。
s3,3,中高級,CCUS是指哪一項技術？,城市空氣品質監測,塑膠分類回收,碳捕捉、利用與封存,森林火災預警,C,"CCUS是Carbon Capture, Utilization and Storage，即碳捕捉、利用與封存。"
s3,3,中高級,下列何者屬於「藍碳」？,森林,水泥建築,紅樹林與海草床,塑膠袋,C,藍碳主要指海洋及沿海生態系，如紅樹林、海草床、鹽沼等儲存的碳。
s3,3,中高級,下列何者屬於「綠碳」？,海草床,塑膠製品,森林與陸域植物生態系,工廠煙囪,C,綠碳是森林與陸域植物生態系吸收、儲存的碳。
s3,3,中高級,「公正轉型」最重要的精神是什麼？,只照顧大型企業,停止所有產業活動,轉型過程不遺落任何人,只追求最快減碳,C,公正轉型強調在低碳轉型過程中照顧勞工、傳統產業及可能受到衝擊的群體。
s3,3,中高級,12項淨零關鍵戰略中，下列何者屬於生活與生態轉型？,綠色金融,CCUS,氫能,自然碳匯,D,自然碳匯屬於生活與生態轉型，利用自然生態系吸收與儲存碳。
s3,3,中高級,2040年的運具目標依講義為何？,只增加柴油車,取消大眾運輸,只推動腳踏車,新售汽機車全部電動化,D,講義註明2040年目標為新售汽機車100%電動化。
s4,4,高級,「持久性有機污染物」英文縮寫為何？,AQI,BOD,CTSI,POPs,D,POPs是Persistent Organic Pollutants的縮寫，即持久性有機污染物。
s4,4,高級,POPs容易造成環境問題的原因不包括哪一項？,難以分解,可長距離傳輸,容易生物累積,遇到水就一定立即分解,D,POPs的特性包括持久性、生物累積及可長距離傳輸等，不是遇水就立即分解。
s4,4,高級,水足跡由哪三類組成？,紅、黃、藍,黑、白、紅,紫、綠、橙,綠、藍、灰,D,水足跡由綠色、藍色及灰色水足跡組成。
s4,4,高級,下列何者最符合灰色水足跡的概念？,雨水儲存在土壤中的水,抽取河川作為生活用水,海水中的鹽分,稀釋污染物至符合水質標準所需的水量,D,灰色水足跡反映稀釋污染，使水質達到標準所需要的水量。
s4,4,高級,火災分類中，電氣設備引起的火災屬於哪一類？,A類,B類,D類,C類,D,C類火災是電氣火災，涉及通電中的電氣設備。
s4,4,高級,活性金屬或可燃性金屬引起的火災屬於哪一類？,A類,B類,C類,D類,D,D類是金屬火災，例如講義列出的鉀、鈉、鈦、鋁、鎂等。
s4,4,高級,痛痛病主要與哪種重金屬污染有關？,汞,鉛,砷,鎘,D,日本富山的痛痛病與鎘污染有關，患者因骨骼及腎臟受損而出現疼痛等症狀。
